arm,run,iid,resolved,exit,steps,greps,in_tok,out_tok,reason_tok,wall_h,wall_death,edit_precision,edit_recall,n_model_files,n_gold_files,anchored_obs,anchored_chars,anchor_calls,anchor_anchored,anchor_not_ready,anchor_timeout,anchor_seconds
E,s1-arm-e3-r1,albumentations-team__albumentations-2337,False,Submitted,103,33,6889535,73234,42552,5.3630555555555555,False,1.0,0.5,2,4,17,23012,21,17,0,0,9.78
E,s1-arm-e3-r1,albumentations-team__albumentations-2495,False,Submitted,136,37,14728293,107555,66002,3.622777777777778,False,0.5,0.2727272727272727,6,11,40,79352,27,40,0,0,7.09
E,s1-arm-e3-r1,confident-ai__deepeval-2345,True,Submitted,32,10,1197148,23306,11193,0.7238888888888889,False,0.8571428571428571,0.8571428571428571,7,7,14,34233,7,14,0,0,2.44
E,s1-arm-e3-r1,confident-ai__deepeval-c_08844c8,True,Submitted,68,27,4053433,37361,24358,1.2827777777777778,False,0.7272727272727273,1.0,22,16,18,53930,22,18,0,0,2.42
E,s1-arm-e3-r1,confident-ai__deepeval-c_ce72651,True,Submitted,52,24,2785906,30984,15772,1.0844444444444445,False,0.8571428571428571,1.0,14,12,21,38723,20,21,0,0,3.8200000000000003
E,s1-arm-e3-r1,django__django-19643,False,Submitted,64,14,3875477,45402,31175,2.4625,False,0.6666666666666666,0.4444444444444444,6,9,24,71158,13,24,0,0,5.35
E,s1-arm-e3-r1,google__adk-python-c_19315fe,True,Submitted,48,21,2156908,24215,13267,0.6708333333333333,False,0.75,1.0,4,3,23,93519,12,23,0,0,3.29
E,s1-arm-e3-r1,google__adk-python-c_61adfcd,True,Submitted,22,13,150704,4803,1007,0.1322222222222222,False,1.0,1.0,4,4,5,1539,10,5,0,0,2.5100000000000002
E,s1-arm-e3-r1,google__langextract-239,,Submitted,154,46,16451271,77763,40766,2.1061111111111113,False,1.0,0.65,13,20,38,52151,36,38,0,0,4.19
E,s1-arm-e3-r1,huggingface__lerobot-2808,False,Submitted,23,8,483816,10677,4655,0.2838888888888889,False,1.0,0.2777777777777778,5,18,8,13767,6,8,0,0,0.66
E,s1-arm-e3-r1,huggingface__transformers-38332,True,Submitted,68,45,1935927,27124,13085,0.9236111111111112,False,1.0,0.7,7,10,7,35835,27,7,0,0,19.2
E,s1-arm-e3-r1,huggingface__transformers-38788,,Submitted,87,38,6168602,40289,25147,1.116111111111111,False,1.0,0.7142857142857143,5,7,37,103588,28,37,0,0,25.25
E,s1-arm-e3-r1,hummingbot__hummingbot-c_1ce05af,True,Submitted,47,14,1977070,19112,10318,0.5672222222222222,False,1.0,1.0,4,4,25,70402,13,25,0,0,13.07
E,s1-arm-e3-r1,icloud-photos-downloader__icloud_photos_downloader-c_f52826c,True,Submitted,18,5,280120,6100,2597,0.14888888888888888,False,1.0,1.0,5,5,12,21157,5,12,0,0,2.8200000000000003
E,s1-arm-e3-r1,langchain-ai__langchain-32996,False,Submitted,59,21,2830216,33280,18689,0.8675,False,1.0,0.5,2,4,30,63678,19,30,0,0,4.37
E,s1-arm-e3-r1,mikf__gallery-dl-7872,False,Submitted,67,28,2425098,26550,15231,0.9325,False,1.0,0.5,2,4,12,38248,8,12,0,0,1.46
E,s1-arm-e3-r1,optuna__optuna-6166,True,Submitted,58,12,3448556,43318,22607,1.0991666666666666,False,1.0,1.0,7,7,22,28420,10,22,0,0,1.2
E,s1-arm-e3-r1,optuna__optuna-6197,True,Submitted,24,10,713887,10839,3995,0.1925,False,1.0,1.0,6,6,16,26619,9,16,0,0,1.61
E,s1-arm-e3-r1,optuna__optuna-c_058e8bc,True,Submitted,15,9,149052,4755,2635,0.10138888888888889,False,1.0,0.0625,1,16,10,20692,6,10,0,0,3.69
E,s1-arm-e3-r1,pandas-dev__pandas-61244,True,Submitted,54,18,1886304,22735,15737,0.5038888888888889,False,1.0,0.3333333333333333,1,3,21,29109,14,21,0,0,9.18
E,s1-arm-e3-r1,pypa__pipenv-6373,True,Submitted,24,12,371363,8703,4647,0.1622222222222222,False,1.0,0.6,3,5,8,4401,8,8,0,0,4.06
E,s1-arm-e3-r1,roboflow__supervision-1943,True,Submitted,44,21,1392673,15427,6976,0.28055555555555556,False,0.9230769230769231,0.9230769230769231,13,13,16,25653,19,16,0,0,4.91
E,s1-arm-e3-r1,stanfordnlp__dspy-1801,,Submitted,60,8,2132211,27608,16770,0.5386111111111112,False,1.0,0.5714285714285714,4,7,19,31669,7,19,0,0,0.79
E,s1-arm-e3-r1,stanfordnlp__dspy-8105,True,Submitted,33,12,978461,15148,9002,0.3308333333333333,False,1.0,1.0,4,4,14,32268,9,14,0,0,3.2800000000000002
E,s1-arm-e3-r1,stanfordnlp__dspy-9047,False,Submitted,10,4,57508,2183,1029,0.0425,False,0.0,0.0,1,2,3,4837,2,3,0,0,0.1
E,s1-arm-e3-r1,stanfordnlp__dspy-9193,,Submitted,132,61,15903003,109452,67757,7.2975,False,1.0,0.5,7,14,17,45534,15,17,0,0,1.28
E,s1-arm-e3-r1,verl-project__verl-3915,False,Submitted,27,8,593054,14346,7503,0.23583333333333334,False,1.0,0.16666666666666666,2,12,9,9420,5,9,0,0,1.06
E,s1-arm-e3-r1,verl-project__verl-4185,True,Submitted,33,10,667703,11974,3809,0.17888888888888888,False,1.0,0.5714285714285714,4,7,8,15477,6,8,0,0,0.5700000000000001
E,s1-arm-e3-r1,vibrantlabsai__ragas-2333,True,Submitted,9,5,57865,1775,663,0.029722222222222223,False,0.5,0.16666666666666666,2,6,1,7235,5,1,0,0,3.72
E,s1-arm-e3-r2-merged,albumentations-team__albumentations-2337,False,Submitted,80,19,5935610,76716,44585,4.153888888888889,False,0.0,0.0,2,4,20,37221,14,20,0,0,3.71
E,s1-arm-e3-r2-merged,albumentations-team__albumentations-2495,False,Submitted,95,24,5263824,44019,29179,1.2847222222222223,False,1.0,0.5454545454545454,6,11,16,28701,15,16,0,0,7.78
E,s1-arm-e3-r2-merged,confident-ai__deepeval-2345,True,Submitted,28,15,813088,15398,7923,0.5155555555555555,False,1.0,0.8571428571428571,6,7,21,45183,14,21,0,0,3.86
E,s1-arm-e3-r2-merged,confident-ai__deepeval-c_08844c8,True,Submitted,78,47,5825601,43518,26558,1.415,False,0.8,1.0,20,16,33,109343,35,33,0,0,12.64
E,s1-arm-e3-r2-merged,confident-ai__deepeval-c_ce72651,False,Submitted,59,18,2750967,25950,14550,0.9419444444444445,False,1.0,1.0,12,12,23,46908,18,23,0,0,9.09
E,s1-arm-e3-r2-merged,google__adk-python-c_19315fe,True,Submitted,34,10,1055764,14282,6844,0.42055555555555557,False,1.0,1.0,3,3,15,65158,10,15,0,0,7.28
E,s1-arm-e3-r2-merged,google__adk-python-c_61adfcd,True,Submitted,19,9,137488,4077,915,0.11166666666666666,False,1.0,1.0,4,4,7,6470,9,7,0,0,3.11
E,s1-arm-e3-r2-merged,google__langextract-239,,Submitted,150,40,16861195,90882,54825,3.165277777777778,False,0.8666666666666667,0.65,15,20,26,45181,34,26,0,0,8.84
E,s1-arm-e3-r2-merged,huggingface__lerobot-2808,False,Submitted,34,8,1039584,21870,11845,0.6541666666666667,False,1.0,0.2777777777777778,5,18,16,22712,6,16,0,0,3.43
E,s1-arm-e3-r2-merged,huggingface__transformers-38332,False,Submitted,129,75,12004964,70597,41882,1.9644444444444444,False,1.0,0.6,6,10,38,127759,43,38,0,0,33.92
E,s1-arm-e3-r2-merged,huggingface__transformers-38788,,Submitted,67,32,3602162,29526,17417,0.7794444444444445,False,1.0,0.8571428571428571,6,7,20,45439,20,20,0,0,26.51
E,s1-arm-e3-r2-merged,hummingbot__hummingbot-c_1ce05af,True,Submitted,57,23,2742815,21426,13020,0.5247222222222222,False,1.0,1.0,4,4,33,85808,21,33,0,0,14.96
E,s1-arm-e3-r2-merged,icloud-photos-downloader__icloud_photos_downloader-c_f52826c,True,Submitted,20,8,359426,8120,3084,0.1525,False,1.0,1.0,5,5,8,18606,8,8,0,0,4.35
E,s1-arm-e3-r2-merged,langchain-ai__langchain-32996,False,Submitted,56,15,2752295,34041,22260,1.1233333333333333,False,1.0,0.5,2,4,24,59351,14,24,0,0,5.21
E,s1-arm-e3-r2-merged,mikf__gallery-dl-7872,False,Submitted,112,57,5900192,52222,31950,1.5052777777777777,False,1.0,0.5,2,4,20,58853,13,20,0,0,7.95
E,s1-arm-e3-r2-merged,optuna__optuna-6166,False,Submitted,59,19,2995171,32759,10299,0.7408333333333333,False,1.0,1.0,7,7,16,24006,16,16,0,0,3.82
E,s1-arm-e3-r2-merged,optuna__optuna-6197,True,Submitted,22,7,570643,10572,4084,0.21722222222222223,False,1.0,1.0,6,6,11,23164,6,11,0,0,2.87
E,s1-arm-e3-r2-merged,optuna__optuna-c_058e8bc,True,Submitted,15,8,135693,4594,2568,0.125,False,1.0,0.0625,1,16,8,8902,4,8,0,0,2.81
E,s1-arm-e3-r2-merged,stanfordnlp__dspy-9193,,Submitted,40,13,963086,12110,6458,0.4147222222222222,False,1.0,0.5714285714285714,8,14,4,4790,9,4,0,0,0.37
