arm,run,iid,resolved,exit,steps,greps,in_tok,out_tok,reason_tok,wall_h,wall_death,edit_precision,edit_recall,n_model_files,n_gold_files,anchored_obs,anchored_chars,anchor_calls,anchor_anchored,anchor_not_ready,anchor_timeout,anchor_seconds
E,s1-arm-e-r1,albumentations-team__albumentations-2337,False,Submitted,77,30,4413819,54459,35542,3.4033333333333333,False,0.5,0.25,2,4,20,23121,27,20,0,0,12.64
E,s1-arm-e-r1,albumentations-team__albumentations-2495,False,Submitted,109,40,8579061,85843,55243,1.8288888888888888,False,0.5,0.2727272727272727,6,11,25,29208,37,25,0,0,11.879999999999999
E,s1-arm-e-r1,confident-ai__deepeval-2345,True,Submitted,41,13,1303134,21448,8886,0.3963888888888889,False,0.8571428571428571,0.8571428571428571,7,7,7,8777,12,7,0,0,4.14
E,s1-arm-e-r1,confident-ai__deepeval-c_08844c8,True,Submitted,72,29,3907931,42450,27556,0.8030555555555555,False,0.7272727272727273,1.0,22,16,16,16190,29,16,0,0,5.36
E,s1-arm-e-r1,confident-ai__deepeval-c_ce72651,True,Submitted,47,18,1607233,21325,11494,0.41833333333333333,False,1.0,1.0,12,12,9,10425,18,9,0,0,4.99
E,s1-arm-e-r1,django__django-19643,False,Submitted,102,30,6551377,69113,49030,1.5341666666666667,False,0.8333333333333334,0.5555555555555556,6,9,19,21959,29,19,0,0,8.78
E,s1-arm-e-r1,google__adk-python-c_19315fe,True,Submitted,41,17,1214845,15836,8591,0.2802777777777778,False,0.75,1.0,4,3,11,15272,17,11,0,0,4.35
E,s1-arm-e-r1,google__adk-python-c_61adfcd,True,Submitted,18,11,121482,4296,1016,0.0775,False,1.0,1.0,4,4,1,310,10,1,0,0,2.44
E,s1-arm-e-r1,google__langextract-239,,Submitted,150,37,14976332,87457,49313,1.7544444444444445,False,0.9230769230769231,0.6,13,20,10,8989,37,10,0,0,4.430000000000001
E,s1-arm-e-r1,huggingface__lerobot-2808,False,Submitted,32,11,1116832,21792,11241,0.46111111111111114,False,1.0,0.2777777777777778,5,18,4,5286,11,4,0,0,3.08
E,s1-arm-e-r1,huggingface__transformers-38332,True,Submitted,71,34,2216821,24031,12753,0.53,False,1.0,1.0,10,10,5,4834,33,5,0,0,5.53
E,s1-arm-e-r1,huggingface__transformers-38788,,Submitted,67,25,2509904,27381,15109,0.6286111111111111,False,1.0,0.7142857142857143,5,7,11,15080,20,11,0,0,8.56
E,s1-arm-e-r1,hummingbot__hummingbot-c_1ce05af,True,Submitted,59,29,2518221,25150,15112,0.47555555555555556,False,1.0,1.0,4,4,15,25527,28,15,0,0,8.81
E,s1-arm-e-r1,icloud-photos-downloader__icloud_photos_downloader-c_f52826c,True,Submitted,16,7,214475,6716,1935,0.10583333333333333,False,1.0,1.0,5,5,6,4710,7,6,0,0,3.15
E,s1-arm-e-r1,langchain-ai__langchain-32996,False,Submitted,61,21,2847716,35929,23771,0.86,False,1.0,0.5,2,4,14,19601,21,14,0,0,5.83
